ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,MAG_X,MAG_Y,MAG_Z
-695,-310,-632,-361,497,-476,1,0,1
-492,-385,-543,-163,380,54,1,0,1
-648,-196,-681,882,2890,-886,1,-1,1
-335,-361,-629,1445,1367,-261,2,-1,1
-320,-469,-766,4,207,63,2,-2,1
-132,-484,-821,49,542,-11,2,-2,1
-214,-425,-891,148,549,35,2,-2,1
-219,-526,-800,95,196,-282,2,-2,1
-223,-566,-806,-12,61,-536,2,-2,1
-84,-499,-852,-250,-198,-452,2,-2,1
-182,-458,-855,-785,-90,-553,2,-2,1
-33,-527,-849,-583,-360,-516,2,-2,1
-45,-419,-922,-194,-225,-189,1,-2,2
-87,-469,-953,-146,-438,-93,1,-2,2
-42,-391,-901,120,-22,-166,1,-2,2
-25,-336,-852,9,182,-6,1,-2,2
-196,-435,-1076,-278,84,159,1,-2,2
-19,-300,-988,-2,286,93,1,-2,2
-76,-387,-857,443,562,102,1,-2,2
-80,-339,-910,364,-30,169,1,-2,2
-108,-383,-887,216,-28,-247,2,-2,2
-71,-448,-869,194,-42,-190,2,-2,1
-96,-441,-867,359,-42,-167,2,-2,1
-55,-370,-904,265,-278,-406,2,-2,1
-200,-437,-817,147,214,-406,2,-2,1
-3,-542,-821,-30,443,-406,2,-3,1
-22,-514,-836,21,883,166,2,-3,1
126,-523,-837,0,1053,-119,2,-3,1
84,-552,-453,-210,525,-330,2,-3,1
291,-528,-804,100,304,-96,2,-3,1
224,-524,-748,79,56,-172,2,-3,1
315,-546,-835,70,186,-267,2,-4,1
276,-512,-775,4,261,-210,2,-4,1
631,-587,-945,-149,170,-149,2,-4,1
315,-456,-775,1,3,9,2,-4,1
314,-498,-753,14,312,-22,2,-4,1
288,-459,-766,-9,337,64,2,-4,1
333,-493,-807,52,-32,-135,2,-4,1
419,-464,-804,172,-219,-365,2,-4,1
295,-562,-792,0,-154,144,2,-4,1
320,-463,-823,-18,392,-121,2,-4,1
373,-497,-798,-37,-35,-119,2,-4,1
365,-494,-735,-192,226,-100,2,-4,1
485,-507,-746,-70,569,0,2,-4,1
462,-462,-711,-146,794,193,2,-4,1
536,-438,-752,-414,1258,555,2,-4,1
483,-427,-891,-484,909,288,2,-4,1
865,-337,-557,-468,2836,1061,2,-5,0
683,-449,-685,-248,1568,459,2,-5,0
677,-292,-473,-259,912,5,2,-5,0
834,-487,-658,-509,543,10,2,-5,0
845,-485,-256,-271,396,-455,2,-5,0
940,-348,-294,-14,298,-309,2,-5,0
880,-353,-320,-249,791,-336,1,-5,0
994,-316,-241,-566,1052,-788,1,-6,0
978,-313,-124,-469,1610,-747,1,-6,0
953,-270,-45,-413,1357,-331,1,-6,-1
991,-513,737,-248,1024,53,1,-6,-1
1000,-220,0,-879,1068,318,1,-6,-1
922,-245,55,-214,315,162,1,-6,-1
936,-283,158,3,65,444,1,-6,-1
866,-333,163,63,26,373,1,-6,-1
900,-280,163,142,-93,138,1,-6,-1
955,-266,224,-256,-190,-198,1,-6,-1
964,-230,280,-222,-136,-285,1,-6,-1
960,-248,281,-218,-26,-351,1,-6,-1
894,-241,243,0,-111,-347,1,-6,-1
951,-212,192,33,-152,-406,1,-6,-1
925,-216,163,34,-72,-302,1,-6,-1
946,-193,143,105,-130,-143,1,-6,-1
942,-168,128,126,-175,-70,1,-6,-1
998,-183,139,116,-165,-22,1,-6,-1
978,-166,128,-7,-29,79,1,-6,-1
982,-138,118,30,-51,72,1,-6,-1
991,-128,118,-15,-64,65,1,-6,-1
1015,-115,126,-74,-31,37,1,-6,-1
1009,-133,145,-228,103,-10,1,-6,-1
987,-149,145,-231,133,-15,1,-6,-1
964,-153,142,-149,104,-3,1,-6,-1
967,-154,148,-124,71,24,1,-6,-1
960,-157,162,-80,18,36,1,-6,-1
969,-144,165,-77,56,3,1,-6,-1
982,-154,161,-24,-30,-10,1,-6,-1
979,-159,166,-57,35,5,1,-6,-1
979,-158,168,-30,17,14,1,-6,-1
981,-151,161,-33,31,7,1,-6,-1
976,-157,165,-32,13,10,1,-6,-1
985,-151,166,-20,7,7,1,-6,-1
980,-152,165,-43,10,7,1,-6,-1
967,-158,168,-1,-21,2,1,-6,-1
978,-145,162,23,-46,5,1,-6,-1
972,-151,160,-23,-30,0,1,-6,-1
986,-143,166,-9,-53,2,1,-6,-1
976,-140,168,-20,-40,-2,1,-6,-1
982,-158,166,-8,-35,5,1,-6,-1
980,-129,169,-9,-28,16,1,-6,-1
982,-145,162,-9,-11,2,1,-6,-1
987,-140,162,-3,-22,-2,1,-6,-1
981,-139,165,-43,7,-6,1,-6,-1
983,-134,168,-6,-11,-11,1,-6,-1
981,-128,166,-35,32,-33,1,-6,-1
991,-127,175,-20,16,-49,1,-6,-1
972,-131,168,-74,54,-54,1,-6,-1
981,-133,184,-40,16,-39,1,-6,-1
970,-135,178,-49,31,-42,0,-6,-1
967,-135,178,-28,25,-20,1,-6,-1
974,-120,185,-5,-2,-23,1,-6,-1
969,-118,186,-43,30,-10,1,-6,-1
988,-112,198,-20,-10,3,1,-6,-1
992,-109,189,-2,6,-6,1,-6,-1
1002,-88,194,11,-11,-4,0,-6,-1
993,-89,183,29,-9,-26,1,-6,-1
982,-77,177,35,-22,-14,0,-6,-1
990,-91,196,-23,6,-44,0,-6,-1
983,-94,205,-22,11,-53,1,-6,-1
983,-89,209,14,38,-64,0,-6,-1
999,-79,218,44,44,-74,0,-6,-1
977,-84,211,37,35,-73,0,-6,-1
962,-72,208,54,2,-35,0,-6,-1
967,-73,205,53,-14,-24,0,-6,-1
973,-97,207,28,-12,-13,0,-6,-1
953,-88,199,57,-24,10,0,-6,-1
959,-56,184,65,-49,36,0,-6,-1
969,-47,200,-6,-16,21,0,-6,-1
985,-52,215,-2,-35,11,0,-6,-1
980,-46,212,-4,-62,16,0,-6,-1
980,-41,214,44,-57,9,0,-6,-1
999,-45,222,16,-8,10,0,-6,-1
979,-66,198,46,-4,-5,0,-6,-1
965,-64,188,48,-11,2,0,-6,-1
970,-58,192,37,-15,-14,0,-6,-1
967,-64,196,14,-13,7,0,-6,-1
970,-61,202,7,-21,39,0,-6,-1
971,-63,199,56,-32,66,0,-6,-1
980,-62,187,79,-56,96,0,-6,-1
977,-77,181,151,-80,154,0,-6,-1
992,-77,160,271,-168,194,1,-6,-1
979,-91,154,256,-234,257,1,-6,-1
936,-139,164,257,-161,394,1,-6,-1
890,-237,117,198,-223,676,1,-6,-1
992,-255,117,592,-664,716,1,-6,-1
951,-245,16,753,-665,511,1,-6,-1
991,-294,-11,438,-637,518,1,-6,-1
991,-305,-35,461,-359,351,1,-6,-1
942,-351,-50,197,-415,438,1,-6,-1
926,-383,-42,177,-259,357,1,-6,0
894,-395,-94,78,-145,324,2,-5,0
934,-393,-68,33,-98,132,2,-5,0
927,-421,-77,-65,53,28,2,-6,0
939,-405,-68,-22,31,26,2,-5,0
915,-421,-60,21,29,91,2,-5,0
868,-420,-32,-65,79,-14,2,-6,0
918,-441,-57,-156,162,-65,2,-6,0
902,-435,-50,-133,206,-52,2,-5,0
893,-463,-32,-123,136,-67,2,-5,0
877,-432,-22,-21,81,-34,2,-6,0
900,-422,-49,-68,53,-32,2,-5,0
901,-416,-32,-62,-18,-40,2,-6,0
906,-427,-11,-37,-30,-25,2,-5,0
932,-419,-44,-3,-8,28,2,-6,0
940,-396,-45,8,-59,30,2,-5,0
932,-395,-41,-7,-34,4,2,-6,0
920,-390,-30,-46,-41,-31,2,-6,0
885,-401,-19,-72,-18,-74,1,-6,0
896,-409,-23,-57,-30,-51,2,-6,0
915,-403,-14,-54,-11,-25,1,-6,0
915,-405,-38,-42,7,-16,1,-6,0
908,-387,-44,-46,30,-17,1,-6,0
914,-405,-51,-16,-23,-6,1,-6,0
926,-378,-53,14,-37,17,1,-6,0
926,-367,-67,-16,5,10,1,-6,0
941,-373,-58,-3,-46,-7,1,-5,0
929,-374,-57,-11,-37,-18,1,-5,0
929,-364,-44,11,-58,-8,1,-6,0
920,-360,-42,16,-42,-33,1,-5,0
924,-381,-35,39,-52,-9,1,-6,0
928,-374,-36,65,-28,23,1,-6,0
929,-364,-47,72,-32,14,1,-6,0
930,-366,-50,62,-32,-2,1,-5,0
933,-366,-51,52,-35,-11,1,-6,0
925,-366,-57,48,-37,-10,1,-6,0
927,-374,-57,21,-19,-20,1,-6,0
921,-375,-58,19,-18,-18,1,-6,0
924,-373,-57,9,-22,4,1,-6,0
921,-362,-58,2,-10,6,1,-6,0
924,-375,-54,14,-31,8,1,-5,0
925,-365,-49,-28,4,19,1,-6,0
925,-366,-45,0,-25,21,1,-6,0
931,-357,-52,-11,3,21,1,-6,0
930,-357,-53,-4,-3,7,1,-6,0
931,-356,-49,-11,2,16,1,-6,0
935,-355,-45,0,-2,8,1,-6,0
934,-356,-52,-11,-1,1,1,-6,0
932,-360,-48,-4,-9,4,1,-6,0
933,-361,-48,-9,-5,4,1,-6,0
933,-363,-50,-1,-9,10,1,-6,0
935,-359,-53,0,-4,11,1,-6,0
935,-363,-45,-8,-17,16,1,-6,0
931,-347,-51,6,-4,14,1,-6,0
934,-360,-56,6,-28,6,1,-6,0
933,-356,-47,-15,-11,13,1,-6,0
929,-358,-46,5,-23,18,1,-6,0
937,-351,-46,-3,-13,13,1,-6,0
935,-354,-42,14,-30,4,1,-6,0
933,-355,-44,-2,-13,9,1,-6,0
939,-357,-39,2,-20,10,1,-6,0
926,-357,-45,0,-7,4,1,-5,0
927,-359,-47,7,-9,9,1,-6,0
937,-354,-47,1,-8,9,1,-6,0
937,-357,-47,0,-9,3,1,-6,0
926,-351,-45,0,4,-4,1,-6,0
937,-362,-40,-16,-21,8,1,-5,0
931,-343,-40,-14,-2,14,1,-6,0
930,-356,-45,-7,-21,7,1,-6,0
935,-353,-33,-35,5,18,1,-6,0
