#Format version: 1.0

Ê®Ò»ÔÂ 10. 2023
FW Datalog BLE
Time,Time,Pressure,Temperature,Acceleration(XYZ),,,Angular Rate(XYZ),,,Mag Field(XYZ),,, Acc,Events,Sensor Fusion Quaternions,,,,Compass,Activity,,Carry,Position,Gesture,,
[h:m],[s.ms],[hPa],[C],[mg],[mg],[mg],[mdps],[mdps],[mdps],[mGauss],[mGauss],[mGauss],State,Description,q[0],q[1],q[2],q[3],[deg.],State,Description,State,Description,State,Description,
103928,,,,,,,,,,,,,,,,,,, 312.9,
103936,,,,1032,51,-80,375,-1178,256,-164,-517,-33,
103984,,,,1074,-15,-377,37,-453,-158,-152,-518,6,
104024,,,,,,,,,,,,,,,,,,, 313.7,
104032,,,,1108,97,-465,580,-639,12,-148,-509,45,
104080,,,,1290,174,-408,-48,-126,25,-152,-502,68,
104128,,,,,,,,,,,,,,,,,,, 312.5,
104136,,,,1152,-28,-522,186,-56,101,-143,-490,63,
104184,,,,1235,167,-408,-565,614,-532,-182,-476,48,
104224,,,,,,,,,,,,,,,,,,, 312.8,
104232,,,,1273,351,-660,-4,-179,-797,-197,-464,51,
104280,,,,1214,340,-481,-255,139,-854,-242,-443,39,
104328,,,,,,,,,,,,,,,,,,, 312.6,
104336,,,,1231,419,-528,-487,28,-1341,-299,-413,21,
104384,,,,965,432,-455,100,-504,-1432,-361,-367,48,
104424,,,,,,,,,,,,,,,,,,, 307.9,
104432,,,,949,352,-560,-263,-307,-838,-398,-323,65,
104480,,,,680,236,-354,-318,-416,-947,-418,-289,51,
104528,,,,,,,,,,,,,,,,,,, 306.1,
104536,,,,294,141,-272,-479,-366,-381,-439,-256,59,
104584,,,,125,142,-275,-646,-49,-33,-446,-244,38,
104624,,,,,,,,,,,,,,,,,,, 311.1,
104632,,,,320,138,-372,-490,192,90,-436,-239,5,
104680,,,,186,128,-82,-734,8,216,-434,-259,-16,
104728,,,,,,,,,,,,,,,,,,, 318.1,
104736,,,,103,125,53,-182,247,593,-419,-263,-36,
104784,,,,119,99,23,635,-63,812,-394,-292,-28,
104824,,,,,,,,,,,,,,,,,,, 316.3,
104832,,,,199,48,-217,1311,-46,1269,-362,-323,12,
104880,,,,627,113,-495,1113,606,1936,-277,-377,18,
104928,,,,,,,,,,,,,,,,,,, 310.5,
104936,,,,682,-58,-494,1463,-273,2060,-197,-428,42,
104984,,,,1356,-78,-727,1575,-191,2382,-79,-452,69,
105024,,,,,,,,,,,,,,,,,,, 304.4,
105032,,,,1663,-182,-666,1522,-816,1710,11,-458,93,
105080,,,,1784,-235,-823,1642,-1556,987,101,-436,150,
105128,,,,,,,,,,,,,,,,,,, 294.2,
105136,,,,1879,-176,-1112,259,-92,-346,131,-424,172,
105184,,,,1524,-133,-889,-738,-571,-1071,71,-421,204,
105224,,,,,,,,,,,,,,,,,,, 293.2,
105232,,,,1308,-179,-781,-1227,-209,-1407,-18,-418,210,
105280,,,,1186,-155,-778,-1511,314,-1646,-117,-421,192,
105328,,,,,,,,,,,,,,,,,,, 296.2,
105336,,,,1061,-136,-795,-1269,-173,-1623,-215,-391,187,
105384,,,,748,-169,-667,-1719,378,-1558,-299,-355,144,
105424,,,,,,,,,,,,,,,,,,, 300.8,
105432,,,,643,-99,-544,-1589,407,-1200,-356,-317,84,
105480,,,,403,-99,-305,-1736,448,-997,-415,-277,21,
105528,,,,,,,,,,,,,,,,,,, 312.6,
105536,,,,341,50,-157,-1797,496,-436,-418,-254,-57,
105584,,,,262,168,-78,-1101,284,-543,-415,-238,-108,
105624,,,,,,,,,,,,,,,,,,, 327.1,
105632,,,,149,228,-63,-528,291,-223,-412,-215,-135,
105680,,,,121,257,83,-78,-161,-30,-418,-224,-147,
105728,,,,,,,,,,,,,,,,,,, 328.7,
105736,,,,283,199,59,835,-638,501,-418,-245,-114,
105784,,,,464,134,-240,1300,79,1290,-401,-284,-55,
105824,,,,,,,,,,,,,,,,,,, 316.7,
105832,,,,664,21,-156,1566,-165,1815,-356,-335,-21,
105880,,,,1405,148,-382,1557,625,2375,-263,-391,11,
105928,,,,,,,,,,,,,,,,,,, 307.5,
105936,,,,898,-46,-125,1307,361,1836,-182,-436,9,
105984,,,,1590,-165,128,1400,364,2143,-78,-463,0,
106024,,,,,,,,,,,,,,,,,,, 297.8,
106032,,,,1638,-351,-310,2374,0,1603,8,-467,17,
106080,,,,1829,-480,-567,2244,-648,910,63,-470,23,
106128,,,,,,,,,,,,,,,,,,, 275.7,
106136,,,,1609,-518,-944,1799,-1159,1,62,-452,60,
106184,,,,1478,-321,-844,-161,-536,-873,45,-452,90,
106224,,,,,,,,,,,,,,,,,,, 268.9,
106232,,,,1491,-257,-917,-557,-904,-930,-1,-451,118,
106280,,,,1450,-275,-931,-1208,-1237,-1188,-69,-425,166,
106328,,,,,,,,,,,,,,,,,,, 275.0,
106336,,,,1196,-168,-824,-1491,-1012,-1432,-149,-394,201,
106384,,,,1002,-19,-741,-1851,-879,-1403,-236,-355,210,
106424,,,,,,,,,,,,,,,,,,, 282.8,
106432,,,,697,23,-743,-1881,-615,-1383,-329,-305,196,
