ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,MAG_X,MAG_Y,MAG_Z
-689,586,-515,-608,725,-308,-2,0,0
-829,642,-385,-592,877,-338,-2,0,0
-819,691,-315,-597,908,-283,-2,0,0
-785,563,-312,-448,828,-263,-2,0,0
-803,613,-158,-717,739,-256,-1,0,0
-858,732,111,-865,578,-316,-1,0,0
-797,779,253,-462,476,-344,-1,0,0
-897,819,278,-86,429,-324,-1,0,0
-888,733,180,-177,117,-114,-1,0,0
-847,763,285,-115,-52,49,-1,0,0
-800,759,246,277,-216,38,-1,0,0
-814,760,123,423,-314,104,-1,0,0
-961,678,-38,519,-470,170,-1,0,0
-916,715,-67,385,-702,300,-1,0,0
-906,623,-252,634,-636,292,-1,0,0
-809,698,-223,266,-981,445,-1,0,0
-794,602,-351,602,-751,419,-2,0,0
-626,646,-344,380,-1051,448,-2,0,0
-584,627,-438,735,-781,352,-2,0,0
-526,637,-511,423,-821,254,-2,0,0
-551,637,-551,631,-523,240,-2,0,0
-552,657,-603,399,-425,191,-2,0,0
-501,641,-666,312,-184,151,-2,0,0
-454,587,-747,100,-30,12,-2,0,0
-476,545,-786,-102,270,-150,-2,0,0
-569,539,-743,-420,492,-230,-2,0,0
-579,513,-670,-499,754,-368,-2,0,0
-729,525,-542,-509,891,-489,-2,0,0
-816,670,-400,-653,895,-445,-2,0,0
-711,532,-333,-306,734,-275,-1,0,0
-1014,617,-192,-693,723,-402,-1,0,0
-961,618,-17,-921,417,-280,-1,0,0
-919,688,113,-772,558,-283,-1,0,0
-975,876,328,-554,426,-240,-1,0,0
-821,778,270,-231,494,-372,-1,0,0
-914,764,317,-79,125,-156,-1,0,0
-804,727,300,-104,-62,9,-1,0,0
-887,697,272,166,-183,-23,-1,0,0
-994,698,237,185,-352,-4,-1,0,0
-1027,715,214,333,-437,85,-1,0,0
-995,613,6,490,-737,260,-1,0,0
-1047,625,-69,676,-599,303,-1,0,0
-886,523,-323,779,-999,660,-1,0,0
-762,570,-313,512,-924,396,-1,0,0
-672,527,-413,656,-1011,473,-2,0,0
-608,532,-501,810,-758,270,-2,0,-1
-625,513,-692,679,-737,268,-2,0,-1
-540,587,-680,452,-497,194,-2,0,-1
-536,621,-664,263,-289,101,-2,0,-1
-512,613,-732,154,-42,33,-2,0,-1
-521,583,-750,-135,196,-157,-2,0,0
-605,625,-584,-394,403,-204,-2,0,-1
-633,536,-619,-397,602,-177,-2,0,0
-740,577,-507,-633,793,-241,-2,0,0
-738,439,-554,-431,931,-242,-2,0,0
-869,465,-422,-578,1022,-382,-2,0,0
-886,463,-351,-418,851,-224,-1,0,0
-805,429,-283,-568,879,-431,-1,0,0
-1031,749,65,-752,744,-392,-1,0,0
-1077,839,119,-744,584,-382,-1,0,0
-973,819,248,-438,297,-120,-1,0,0
-1011,876,420,-395,408,-256,-1,0,0
-893,662,182,-90,187,-91,-1,0,0
-795,696,341,-205,14,106,-1,0,0
-785,716,282,115,-222,132,-1,0,0
-916,770,247,268,-343,42,-1,0,0
