ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,MAG_X,MAG_Y,MAG_Z
-936,245,599,-296,4533,-1178,0,0,-3
-1144,117,274,-182,5184,-1031,0,0,-2
-969,61,-159,82,5532,-954,0,1,0
-747,-15,-584,237,5425,-885,0,0,1
-145,-57,-746,221,4598,-550,1,-1,2
-7,-129,-1021,137,1202,420,1,-2,2
147,-115,-957,109,779,244,1,-2,2
106,-134,-969,15,149,278,1,-2,2
111,-78,-865,11,-550,128,1,-2,2
-104,-164,-934,151,-1630,384,1,-1,2
-88,-115,-833,177,-3486,532,1,0,2
-887,-130,-551,-6,-5124,907,1,0,0
-1117,-34,-231,-177,-4989,1091,0,1,0
-1125,62,251,-231,-5857,1748,0,0,-2
-834,208,643,-130,-5818,1754,0,0,-4
-288,341,809,-247,-5229,1325,0,-2,-5
-153,232,986,-366,-1116,-67,0,-3,-5
-49,224,993,-95,-632,53,0,-3,-5
-97,228,968,-38,915,-335,0,-3,-5
-366,211,931,-120,2713,-506,0,-2,-5
-902,170,745,-160,5264,-1330,0,0,-4
-1186,32,444,-336,5546,-994,0,0,-3
-1055,33,66,-207,5964,-1073,0,1,-1
-817,-58,-489,80,5714,-898,1,0,0
-401,-126,-753,11,4129,-553,1,0,2
-79,-156,-963,12,2008,-160,1,-1,2
-6,-150,-950,-52,715,74,1,-1,2
-69,-108,-886,-212,-364,113,1,-1,2
-147,-79,-783,-7,-1715,282,1,-1,2
-510,-114,-695,222,-4377,742,1,0,1
-1011,-127,-522,219,-4962,1027,1,0,0
-1063,8,-175,-53,-4134,1034,0,1,0
-1066,150,266,-3,-4676,1524,0,0,-2
-853,236,552,9,-4461,1508,0,0,-3
-550,239,747,-462,-5162,1684,0,-1,-4
-174,255,829,-369,-3333,854,0,-3,-4
10,242,996,-301,-1000,266,0,-3,-4
33,270,991,-170,479,-72,0,-3,-5
-184,255,1002,59,2726,-616,0,-3,-5
-678,251,770,63,5623,-1726,0,-1,-4
-1188,92,463,-103,5443,-1372,0,0,-3
-1188,22,134,212,6399,-1340,0,0,-1
-846,-50,-408,308,6314,-1293,1,0,0
-405,-176,-788,337,5159,-906,1,0,1
173,-202,-881,261,3267,-442,1,-1,2
250,-254,-889,-177,711,-43,1,-2,2
242,-184,-845,-160,-35,-203,1,-2,2
8,-192,-852,7,-1536,8,1,-2,2
-153,-218,-822,102,-3850,732,1,-1,2
-781,-142,-590,-57,-6262,1341,1,0,1
-1147,-87,-296,-125,-5133,1419,1,0,0
-873,159,419,-518,-4432,1330,0,0,-3
-549,247,769,-255,-4846,1311,0,-1,-4
-283,232,920,-405,-4132,1176,0,-2,-5
-139,210,1119,-170,-691,109,0,-3,-5
0,225,1043,122,564,-211,0,-3,-5
-223,217,873,101,1340,-334,0,-3,-5
-466,210,954,49,3861,-1099,0,-2,-5
-1001,191,645,2,5190,-1316,0,0,-4
-1192,85,379,-21,6451,-1354,0,0,-2
-1119,-9,-91,168,7027,-1349,0,0,0
-552,-115,-672,266,6114,-1001,1,0,1
23,-150,-791,74,3730,-383,1,-1,2
129,-185,-951,-154,466,226,1,-2,2
17,-125,-850,-198,-699,221,1,-1,2
-102,-127,-782,70,-2632,438,1,-1,2
-733,-119,-541,-44,-6152,924,1,0,1
-1271,-67,-286,-54,-5472,1138,0,1,0
-1059,72,81,-240,-4363,1251,0,0,-2
-935,154,500,-325,-4871,1341,0,0,-3
-626,248,801,-350,-5322,1320,0,-1,-4
-215,213,925,-320,-3626,795,0,-3,-5
-161,204,906,179,-160,-138,0,-3,-5
-161,212,918,90,1134,-293,0,-3,-5
-381,205,975,60,2951,-751,0,-2,-4
-892,184,668,-8,4801,-1412,0,-1,-4
-1250,30,330,-78,5660,-1198,0,0,-3
-1200,-15,-12,-203,5938,-1164,0,0,-1
-849,-58,-389,21,6225,-924,1,0,0
-217,-99,-771,5,4192,-527,1,0,2
-72,-150,-967,-98,1427,88,1,-1,2
49,-138,-942,-85,520,76,1,-1,2
-8,-104,-873,-171,-644,60,1,-1,2
-169,-102,-844,-1,-2065,255,1,-1,2
-529,-104,-739,18,-3696,517,1,0,1
-903,-79,-556,25,-4186,700,1,0,0
-1042,-11,-254,-126,-3931,716,0,0,0
-1096,85,116,-190,-4761,1074,0,0,-1
-918,141,491,-291,-5033,1156,0,0,-3
-620,200,806,-254,-5320,1189,0,-1,-4
-303,169,862,-212,-2837,536,0,-2,-5
-218,218,889,-8,-88,-22,0,-3,-5
-223,183,907,10,1390,-261,0,-2,-5
-536,161,951,-107,2823,-639,0,-2,-5
-876,156,713,-118,4582,-1131,0,0,-4
-1179,44,360,-115,4830,-848,0,0,-2
-1193,-16,13,-93,5222,-692,0,1,-1
-902,-18,-405,77,6026,-726,1,0,0
-333,-110,-674,115,5014,-433,1,0,2
21,-92,-959,-112,1796,111,1,-1,2
27,-109,-954,-171,240,207,1,-1,2
-121,-71,-880,-205,-541,147,1,-1,2
-105,-40,-825,11,-1596,159,1,-1,2
-569,-67,-706,126,-3878,469,1,0,1
-951,-60,-540,105,-4517,684,0,0,0
-1104,0,-246,-44,-4410,919,0,1,0
-1033,136,159,-165,-4605,1262,0,0,-2
-864,200,498,-249,-4589,1374,0,0,-3
-587,285,760,-212,-4352,1295,0,-1,-4
-300,233,857,-133,-2416,703,0,-2,-5
-215,309,976,-110,-457,44,0,-2,-4
-193,282,997,-43,528,-124,0,-2,-5
-286,301,938,-48,750,-225,0,-2,-5
-547,264,898,-22,3078,-866,0,-1,-4
-956,228,685,-25,4576,-1113,0,0,-4
-1153,165,423,77,5685,-904,0,0,-2
-1011,98,-21,245,5863,-732,0,1,0
-757,-12,-540,303,5253,-532,0,0,1
-357,-32,-757,123,4624,-389,1,0,2
34,-19,-941,-42,1978,108,1,-1,2
92,-48,-969,-88,701,159,1,-2,2
-48,1,-881,-163,-159,95,0,-2,2
9,-24,-910,70,-1159,108,1,-1,2
-152,1,-788,95,-2918,377,0,-1,2
-570,-22,-635,185,-5108,604,0,0,1
-1184,-11,-364,-4,-5950,1015,0,0,0
-1091,90,-41,-203,-4738,1238,0,1,-1
-899,242,471,-469,-4970,1514,0,0,-3
-621,310,723,-347,-4727,1539,0,-1,-4
-305,282,806,-311,-2895,969,0,-2,-4
-135,317,1005,-172,-800,245,0,-2,-5
-162,275,981,-61,637,-114,0,-3,-5
-236,271,970,-14,1099,-279,0,-2,-5
-476,325,897,-13,1509,-436,0,-2,-5
-701,276,803,93,3994,-987,0,-1,-4
-1140,205,535,51,5360,-1141,0,0,-3
-1128,140,164,481,7123,-1409,0,1,-1
-740,1,-434,539,6312,-1035,0,0,0
-300,-92,-775,179,3819,-475,1,0,2
-164,-102,-970,43,1699,5,1,-1,2
-55,-94,-990,-86,439,126,1,-1,2
-120,-58,-902,-140,-77,65,1,-1,2
-160,-39,-845,-18,-1326,105,1,-1,2
-325,-51,-751,36,-3298,433,1,0,2
-849,-46,-553,86,-4588,616,0,0,0
-1102,-12,-342,55,-4518,1010,0,1,0
-1083,123,51,-182,-4384,1235,0,0,-2
-1004,237,385,-204,-4588,1374,0,0,-3
-756,295,622,-180,-4080,1332,0,-1,-4
-478,338,747,-398,-4066,1575,0,-2,-4
-109,334,1013,-118,-639,296,0,-3,-5
-1,304,943,29,256,25,0,-3,-5
-200,340,923,64,997,-374,0,-3,-5
-446,325,918,108,3319,-1065,0,-2,-4
-896,260,685,91,4956,-1436,0,0,-4
-1114,193,373,42,5346,-1138,0,0,-2
-1030,128,20,336,6134,-1283,0,1,0
-762,14,-497,429,5219,-827,0,0,1
-391,-71,-719,385,4291,-472,1,0,2
43,-136,-987,269,1497,191,1,-1,2
-14,-154,-1011,-35,275,149,1,-1,2
-79,-86,-927,-224,-697,175,1,-1,2
-256,-82,-922,-83,-1498,258,1,-1,2
-205,-85,-850,-35,-2375,327,1,0,2
-706,-17,-572,-206,-4737,675,0,0,1
-1062,2,-276,-158,-5401,1309,0,1,0
-1252,116,46,-371,-5364,1703,0,0,-2
-931,257,494,-479,-5858,2380,0,0,-4
-304,403,622,-725,-5455,2361,0,-2,-4
-206,363,985,-93,365,-212,0,-2,-4
-150,344,919,-95,268,-62,0,-2,-4
-350,342,953,-123,638,-202,0,-2,-5
-560,334,841,-226,1850,-222,0,-2,-4
-863,346,887,-254,4318,-795,0,-1,-4
-1049,319,688,204,5848,-843,0,0,-3
-915,230,96,703,7078,-977,0,1,-1
-634,107,-399,469,6160,-771,0,0,1
-363,32,-756,203,3683,-234,0,0,2
-18,-4,-983,293,2004,147,0,-1,2
42,-35,-1032,42,295,235,0,-1,2
36,26,-922,-79,-155,112,0,-1,2
-175,-1,-997,0,-1884,317,0,-1,2
-281,63,-793,-49,-3047,639,0,0,2
-691,77,-528,170,-4722,515,0,0,1
-1129,10,-270,303,-4744,800,0,0,0
-1086,155,-65,-95,-4872,1106,0,0,-1
-894,234,403,-396,-5139,1527,0,0,-3
-552,358,764,-670,-5378,1390,0,-1,-4
-162,222,961,-371,-1809,317,0,-2,-5
-308,278,957,-273,-238,-198,0,-3,-5
-289,271,970,-162,899,-353,0,-2,-5
-468,223,926,-140,2559,-711,0,-2,-4
