#Format version: 1.0

Ê®Ò»ÔÂ 10. 2023
FW Datalog BLE
Time,Time,Pressure,Temperature,Acceleration(XYZ),,,Angular Rate(XYZ),,,Mag Field(XYZ),,, Acc,Events,Sensor Fusion Quaternions,,,,Compass,Activity,,Carry,Position,Gesture,,
[h:m],[s.ms],[hPa],[C],[mg],[mg],[mg],[mdps],[mdps],[mdps],[mGauss],[mGauss],[mGauss],State,Description,q[0],q[1],q[2],q[3],[deg.],State,Description,State,Description,State,Description,
136080,,,,681,177,-630,61,-390,-228,-223,-358,205,
136128,,,,,,,,,,,,,,,,,,, 309.4,
136136,,,,778,238,-645,214,-527,-518,-244,-341,222,
136184,,,,839,274,-488,324,-300,-542,-265,-320,246,
136224,,,,,,,,,,,,,,,,,,, 301.2,
136232,,,,736,295,-593,511,-543,-696,-272,-301,270,
136280,,,,627,244,-681,531,-14,-850,-280,-257,280,
136328,,,,,,,,,,,,,,,,,,,  14.0,
136336,,,,473,264,-884,428,114,-689,-284,-250,292,
136384,,,,113,91,-1058,291,669,-434,-293,-244,289,
136424,,,,,,,,,,,,,,,,,,,   6.1,
136432,,,,-15,11,-1342,-2,1397,-139,-293,-269,261,
136480,,,,-256,-69,-1416,-343,357,-27,-301,-274,226,
136528,,,,,,,,,,,,,,,,,,,   3.1,
136536,,,,-287,-135,-1243,-1098,298,533,-307,-289,211,
136584,,,,346,-169,-1021,-1431,429,990,-314,-326,154,
136624,,,,,,,,,,,,,,,,,,,  12.4,
136632,,,,865,-76,-549,-1660,-278,1150,-283,-365,117,
136680,,,,1099,-22,10,-1677,-329,990,-268,-389,86,
136728,,,,,,,,,,,,,,,,,,,  28.9,
136736,,,,1609,351,287,-1170,-435,1017,-233,-412,68,
136760,,,,,,,,,,,,,,,,,,,,,,,,    1,Pick Up,
136768,,,,,,,,,,,,,,,,,,,,,,,,    0,No Gesture,
136784,,,,1977,262,64,-375,21,766,-203,-430,54,
136824,,,,,,,,,,,,,,,,,,, 332.9,
136832,,,,1992,108,102,832,-756,483,-166,-428,102,
136880,,,,1322,-11,319,242,50,-472,-179,-428,108,
136928,,,,,,,,,,,,,,,,,,, 328.8,
136936,,,,1376,64,354,322,-448,-81,-184,-416,118,
136984,,,,1458,39,213,-324,19,-320,-196,-407,118,
137024,,,,,,,,,,,,,,,,,,, 328.5,
137032,,,,1453,-161,41,-610,527,-326,-211,-412,92,
137080,,,,1004,-157,-765,743,1433,-1330,-266,-394,41,
137128,,,,,,,,,,,,,,,,,,, 320.9,
137136,,,,616,-101,-871,851,1405,-762,-290,-371,9,
137184,,,,390,231,-1082,959,1582,-513,-299,-349,-24,
137224,,,,,,,,,,,,,,,,,,, 308.9,
137232,,,,164,281,-1235,1110,1257,-2,-311,-340,-27,
137280,,,,336,572,-1367,697,808,141,-314,-341,-34,
137328,,,,,,,,,,,,,,,,,,, 300.5,
137336,,,,481,582,-1341,543,-334,-149,-317,-334,-21,
137384,,,,425,472,-1306,467,-707,-242,-331,-328,18,
137424,,,,,,,,,,,,,,,,,,, 294.8,
137432,,,,466,381,-1246,290,-529,-340,-349,-322,30,
137480,,,,520,181,-1095,746,-692,-227,-367,-302,80,
137528,,,,,,,,,,,,,,,,,,, 288.4,
137536,,,,682,-160,-836,558,-590,467,-362,-310,124,
137584,,,,1181,-173,-299,-642,-445,1381,-329,-328,130,
137624,,,,,,,,,,,,,,,,,,, 296.5,
137632,,,,1641,199,340,-909,813,1376,-278,-388,96,
137680,,,,1399,112,265,-2323,0,926,-244,-419,41,
137728,,,,,,,,,,,,,,,,,,, 318.2,
137736,,,,1479,211,523,-2000,-182,596,-208,-433,-3,
137784,,,,1639,340,515,-1394,-207,329,-185,-443,-34,
137824,,,,,,,,,,,,,,,,,,, 334.3,
137832,,,,1284,168,364,-653,-758,8,-179,-440,-15,
137880,,,,1225,144,203,-279,-179,-751,-202,-436,-1,
