ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,MAG_X,MAG_Y,MAG_Z
1345,56,-233,161,165,-1635,0,-6,0
1081,72,-205,23,296,-1653,0,-6,0
721,101,-185,76,219,-1594,0,-6,0
455,213,-128,-2,80,-1515,-1,-5,0
146,325,-141,-260,219,-1389,-1,-5,0
78,322,-83,-162,-133,-1117,-2,-5,0
-95,259,-40,-24,30,-409,-2,-5,0
-104,301,-1,-289,-129,-245,-2,-5,0
-29,266,51,-135,-83,190,-2,-5,0
55,302,-14,-142,-75,608,-2,-5,0
237,264,24,-275,77,1214,-2,-5,0
515,302,44,-125,-408,1291,-1,-5,0
673,229,-54,-128,-405,1680,-1,-5,0
955,241,77,-290,-483,1776,0,-6,0
1341,220,-168,-44,-609,1656,0,-6,0
1570,230,-174,131,-685,1719,0,-6,0
1867,319,-202,399,-676,1365,0,-6,0
1669,336,-309,482,-613,990,1,-6,0
1758,395,-357,291,-171,511,1,-6,1
1747,390,-329,267,32,42,1,-6,1
1732,274,-330,61,317,-555,1,-6,1
1712,160,-306,58,538,-976,1,-6,0
1580,127,-338,344,395,-1257,0,-6,0
1413,176,-298,356,224,-1480,0,-6,0
1282,219,-252,155,161,-1737,0,-6,0
1019,230,-212,15,-139,-1745,0,-6,0
948,210,-103,-275,197,-1908,-1,-5,0
417,239,-51,-270,88,-1818,-1,-5,0
166,250,-55,-316,23,-1639,-2,-5,0
-150,197,-18,15,-79,-977,-2,-4,0
-303,374,99,184,-284,-504,-2,-4,0
-262,191,0,-263,-299,102,-2,-4,0
-103,275,8,-70,-231,469,-2,-4,0
113,318,-11,17,-18,888,-2,-4,0
247,270,-39,-237,128,1190,-2,-5,0
476,289,-41,-140,-239,1362,-1,-5,0
746,259,-93,-251,-143,1876,-1,-5,0
1177,306,-62,-296,-388,1946,-1,-6,0
1261,289,-117,-100,-452,1829,0,-6,0
1619,311,-151,75,-605,1782,0,-6,0
1654,283,-300,421,-525,1543,0,-6,0
1900,419,-411,453,-559,1035,1,-6,1
1814,368,-292,85,-285,411,1,-6,1
1715,335,-302,92,165,-180,1,-6,1
1589,252,-315,140,216,-686,1,-6,1
1662,201,-320,67,371,-998,1,-6,0
1581,152,-297,107,317,-1299,0,-6,0
1496,107,-286,-11,276,-1632,0,-6,0
1160,75,-274,-98,-21,-1749,0,-6,0
998,154,-277,-259,-55,-1768,0,-6,0
605,137,-99,-541,259,-1624,-1,-5,0
295,242,-44,-457,-107,-2005,-1,-5,0
108,316,9,-523,119,-1622,-2,-5,0
-14,315,26,-26,7,-1177,-2,-4,0
-303,309,52,88,-92,-556,-2,-4,0
-393,264,64,-91,-57,-102,-2,-4,0
-190,289,58,136,-70,861,-2,-4,0
40,236,69,-73,158,1425,-2,-4,0
300,211,51,242,-210,1698,-2,-5,0
623,172,20,52,25,2086,-1,-5,0
930,180,-60,488,-546,2045,-1,-5,0
1235,150,-242,273,-408,2244,0,-6,0
1513,224,-401,396,-276,1970,0,-6,0
1755,190,-357,57,-318,1885,0,-6,0
1718,230,-381,271,-307,1363,1,-6,0
1788,298,-324,322,-389,681,1,-6,1
1746,352,-370,156,11,236,2,-5,1
1817,267,-312,90,41,-378,2,-5,0
1840,212,-429,-10,384,-813,1,-6,1
1796,17,-351,-90,787,-1361,1,-6,0
1457,-41,-255,376,81,-1557,0,-6,0
1313,-24,-305,-102,510,-1930,0,-6,0
1108,102,-141,-59,36,-1948,0,-6,0
824,103,-116,-249,312,-1986,-1,-5,0
461,197,-76,-236,55,-1920,-1,-5,0
220,257,-32,-330,-46,-1796,-2,-5,0
-51,244,10,-97,-26,-1156,-2,-4,0
-322,286,134,239,-77,-636,-2,-4,0
-385,232,-1,-186,-250,-182,-2,-4,0
-334,331,10,-93,-354,358,-2,-4,0
-8,377,5,-92,-44,961,-2,-4,0
257,342,20,-50,-81,1131,-2,-5,0
440,318,58,-55,-230,1378,-2,-5,0
613,299,-11,-18,-364,1507,-1,-5,0
942,360,-63,34,-567,1766,-1,-5,0
1317,415,-292,-18,-652,1661,0,-6,0
1487,392,-207,64,-401,1638,0,-6,0
1561,410,-348,215,-537,1246,0,-6,0
1547,442,-384,381,-327,955,0,-6,1
1558,467,-354,260,-327,746,0,-6,1
1674,518,-471,289,-263,277,1,-6,1
1578,437,-370,7,259,-144,1,-6,1
1574,402,-370,93,363,-647,0,-6,1
1509,335,-343,166,403,-912,0,-6,0
1449,227,-396,406,301,-1164,0,-6,0
1228,201,-334,-23,118,-1455,0,-6,0
1096,151,-247,-226,-4,-1334,0,-6,0
1015,215,-243,-55,-151,-1529,0,-5,0
703,241,-221,-366,-52,-1654,-1,-5,0
471,337,-124,-798,-199,-1950,-2,-5,0
173,320,0,-1001,123,-2008,-2,-4,0
-286,328,113,-380,97,-1388,-2,-4,0
-381,339,165,128,51,-289,-3,-4,0
-210,402,18,-81,-77,175,-3,-4,0
-68,439,19,63,-186,650,-3,-4,0
-19,386,60,-163,154,1070,-2,-4,0
189,327,-27,302,-436,1378,-2,-4,0
455,343,58,-82,230,1925,-2,-5,0
741,274,-45,423,-443,1984,-1,-5,0
951,300,-34,196,-366,2045,-1,-5,0
1438,326,-239,412,-357,1846,0,-6,0
1540,303,-247,476,-580,1773,0,-6,0
1598,270,-376,515,-506,1399,0,-6,0
1700,356,-543,364,-595,955,1,-6,1
1759,359,-420,-58,-47,402,1,-6,1
1654,360,-432,105,154,-217,1,-6,1
1615,307,-438,-51,357,-691,1,-6,1
1647,215,-435,-116,448,-1007,1,-6,0
1469,167,-310,-44,465,-1382,0,-6,0
1365,208,-325,90,33,-1399,0,-6,0
1069,227,-267,-272,342,-1634,0,-6,0
932,300,-145,-319,80,-1837,-1,-5,0
561,348,-87,-303,314,-1798,-1,-5,0
336,397,-63,-254,-43,-1682,-2,-5,0
229,370,-67,-312,-94,-1419,-2,-4,0
-30,262,-15,-116,-147,-845,-2,-4,0
-127,301,111,350,-32,-276,-2,-4,0
-114,295,22,-142,-219,60,-2,-4,0
-72,353,32,-9,-171,449,-2,-4,0
130,300,-12,-27,-66,980,-2,-4,0
203,322,92,-77,-29,1369,-2,-5,0
510,291,-12,116,-176,1676,-1,-5,0
591,254,108,119,-336,1981,-1,-5,0
1092,340,-243,466,-512,1928,0,-5,0
1519,326,-401,450,-588,1964,0,-6,0
1684,324,-420,352,-497,1744,0,-6,0
1550,190,-369,314,-433,1396,0,-6,1
1575,189,-411,397,-371,1015,1,-6,1
1623,238,-513,359,-290,512,1,-5,1
1711,243,-449,-17,101,-135,1,-6,1
1636,203,-447,-110,343,-709,1,-6,1
1620,158,-481,-184,554,-1073,1,-6,1
1527,125,-352,4,616,-1365,0,-6,0
1358,101,-288,255,371,-1672,0,-6,0
1215,137,-300,-107,266,-1684,0,-6,0
1024,192,-191,-191,191,-1611,0,-6,0
774,206,-105,-216,186,-1643,-1,-5,0
652,292,-46,-335,381,-1618,-1,-5,0
