ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,MAG_X,MAG_Y,MAG_Z
-523,329,5,-46,-228,649,-1,0,-1
-509,373,88,-98,-168,429,-1,0,-1
-464,357,26,-4,-77,249,-1,0,-1
-405,412,40,-36,-36,17,-1,0,-1
-418,405,44,52,-172,-298,-1,0,-1
-549,368,98,2,51,-578,-1,0,-1
-569,323,33,126,-289,-746,-1,0,-1
-688,256,0,136,592,-1142,0,0,-1
-805,168,0,230,-299,-1145,0,0,-1
-960,37,-64,347,453,-1135,0,0,-1
-1085,-72,-87,207,-120,-1154,0,0,-1
-893,-51,-118,20,-118,-1190,0,1,-1
-1201,-203,-34,84,210,-1077,1,0,-1
-1107,-194,-15,62,-401,-928,1,0,-1
-1278,-349,-17,166,153,-884,1,0,-1
-1277,-332,67,-44,-693,-651,1,0,-2
-1180,-386,96,33,-238,-672,2,0,-2
-1204,-445,177,20,-138,-528,2,0,-2
-1316,-494,61,123,-87,-485,2,0,-2
-1315,-467,183,-9,-2,-182,2,0,-2
-1263,-474,100,86,194,49,2,0,-2
-1261,-451,98,-39,73,306,2,0,-2
-1261,-458,85,-113,186,417,2,0,-2
-1261,-437,69,-240,310,666,2,0,-2
-1251,-408,-18,-186,317,730,1,0,-1
-1130,-351,6,-249,229,926,1,0,-1
-1167,-308,-75,-105,-67,991,1,0,-1
-1051,-228,-91,-270,82,934,1,0,-1
-1092,-130,-123,-217,-226,899,0,0,-1
-1001,-44,-101,-303,66,1110,0,1,-1
-881,66,-24,-128,-297,1045,0,1,-1
-965,100,-81,-68,-186,1156,0,0,-1
-771,247,85,21,-177,1121,0,0,-1
-767,272,-28,58,-133,999,-1,0,-1
-571,327,23,-73,-85,919,-1,0,-1
-551,367,-7,-11,-237,671,-1,0,-1
-504,421,43,-76,-149,444,-1,0,-1
-437,447,39,0,-81,190,-1,0,-1
-397,451,55,15,-140,-1,-1,0,-1
-438,445,34,75,-37,-230,-1,0,-2
-564,435,51,28,28,-506,-1,0,-1
-569,365,3,181,-100,-666,-1,0,-1
-653,264,84,79,218,-876,-1,0,-1
-708,204,-42,48,-31,-1064,0,0,-1
-794,139,3,47,51,-1158,0,0,-1
-1099,16,-13,39,74,-1302,0,1,-1
-1018,-33,-65,1,-256,-1224,0,0,-1
-1092,-152,50,44,133,-1129,0,0,-1
-1153,-191,0,-67,-844,-1131,1,0,-2
-1205,-331,74,-96,-2,-1003,1,0,-2
-1231,-372,209,-317,-1006,-1013,1,0,-2
-1286,-451,248,19,223,-858,2,0,-2
-1240,-441,187,-7,-161,-598,2,0,-2
-1185,-459,260,161,365,-592,2,0,-2
-1285,-478,172,91,429,-252,2,0,-2
-1222,-480,119,-56,200,-34,2,0,-2
-1242,-477,143,-24,227,234,2,0,-2
-1174,-476,136,-77,278,384,2,0,-2
-1262,-482,70,-107,293,534,2,0,-1
-1307,-487,7,-146,336,668,2,0,-1
-1224,-428,-13,-336,170,756,2,0,-1
-1245,-410,-100,-307,126,800,1,0,-1
-992,-289,-116,-255,101,830,1,0,-1
-1061,-278,-143,-343,-457,1054,1,0,-1
-1036,-221,-109,-109,-201,1052,1,0,-1
-904,-71,-94,-129,-225,1300,0,0,-1
-970,76,-47,-4,-102,1176,0,1,-1
-970,185,-26,19,-201,1296,0,1,-1
-858,239,-28,21,-135,1407,0,0,-1
-643,256,-8,72,-309,1307,-1,0,-1
-380,328,75,-126,-212,1040,-1,0,-1
-273,396,103,-92,-203,581,-1,0,-1
-270,421,85,-49,-47,192,-1,0,-2
-321,444,88,42,-46,-56,-2,0,-2
-378,438,121,102,92,-364,-1,0,-2
-569,381,37,167,138,-597,-1,0,-1
-611,327,41,193,329,-678,-1,0,-1
-733,320,18,279,-42,-952,-1,0,-1
-699,279,-61,236,452,-962,0,0,-1
-1024,194,-8,96,-2,-890,0,0,-1
-1035,132,-102,235,-7,-1203,0,1,-1
-1175,75,-121,121,353,-1054,0,0,-1
-1082,-1,-142,-91,-232,-1084,0,0,-1
-1171,-104,-16,4,-267,-980,0,0,-1
-1049,-188,-85,-91,-173,-1067,1,0,-1
-1252,-283,22,58,-214,-940,1,0,-1
-1130,-311,63,-35,-398,-896,1,0,-1
-1261,-403,11,308,326,-779,2,0,-1
-1169,-425,-20,96,-2,-633,2,0,-1
-1316,-469,-1,-27,-165,-381,2,0,-2
-1323,-434,72,-41,196,-200,2,0,-2
-1352,-434,20,-17,176,123,2,0,-1
-1323,-456,-44,-128,198,380,2,0,-1
-1254,-467,-125,-970,-140,569,2,0,-1
-1262,-425,16,-391,-29,508,2,0,-1
-1209,-415,-44,-249,113,473,2,0,-1
-1220,-384,-137,-109,136,770,2,0,-1
-1054,-437,-162,-29,381,342,1,0,-1
-1042,-297,-259,-291,29,809,1,0,-1
-921,-219,-230,-151,-138,802,1,0,-1
-981,-212,-236,-21,-25,1183,1,1,-1
-855,-77,-187,-102,-198,1097,0,1,-1
-875,-18,-111,-181,-406,1235,0,1,-1
-823,132,-149,-43,-347,1003,0,1,-1
-809,216,-58,-135,-502,1038,0,0,-1
-658,315,7,-180,-125,888,0,0,-1
-647,350,57,-52,-319,753,-1,0,-1
-566,376,28,-37,-59,446,-1,0,-1
-523,389,51,-32,-100,286,-1,0,-1
-465,379,53,18,-242,107,-1,0,-1
-457,408,38,2,57,-129,-1,0,-1
-509,388,45,42,16,-290,-1,0,-1
-570,330,30,138,189,-522,-1,0,-1
-584,293,-8,122,153,-655,-1,0,-1
-679,209,29,147,181,-836,0,0,-1
-751,126,-33,273,273,-961,0,1,-1
-894,22,18,317,-176,-722,0,1,-1
-1066,-51,-179,418,219,-1211,0,1,-1
-1042,-82,-100,42,-591,-972,0,0,-1
-1177,-210,-221,-141,38,-923,1,0,-1
-1200,-200,26,-230,-870,-1000,1,0,-1
-1215,-269,55,-137,9,-827,1,0,-2
-1278,-334,91,-207,-862,-991,1,0,-2
-1337,-431,197,93,-72,-893,2,0,-2
-1233,-442,97,4,49,-616,2,0,-2
-1101,-453,208,-128,-333,-483,2,0,-2
-1143,-470,213,25,478,-471,2,0,-2
-1318,-466,127,0,-10,-312,2,0,-2
-1365,-465,137,-40,270,140,2,0,-2
-1321,-468,182,-41,462,403,2,0,-2
-1357,-542,40,64,765,268,2,0,-2
-1371,-571,-91,-591,372,303,2,0,-1
-1223,-528,-55,-412,-401,707,2,0,-1
-1106,-455,-111,-221,-175,1002,2,0,-1
-1031,-301,-96,-25,-64,1124,1,0,-1
-1034,-219,-212,163,168,1055,1,0,-1
-895,-129,-179,-87,-54,1015,0,1,-1
-857,-34,-139,-2,68,980,0,1,-1
-734,76,2,-206,-485,1108,0,1,-1
-777,124,11,78,-434,1057,0,0,-1
-673,199,55,51,-389,1018,0,0,-1
-607,270,86,314,-499,819,0,0,-2
-481,378,53,112,-233,620,-1,0,-2
-382,436,150,13,-57,414,-1,0,-2
-366,423,102,46,-23,147,-1,0,-2
-458,409,98,-14,-100,-87,-1,0,-2
-526,368,51,9,128,-295,-1,0,-2
-542,339,43,-51,91,-389,-1,0,-2
-656,293,60,58,165,-624,-1,0,-2
-717,231,-13,88,289,-856,0,0,-2
-830,198,22,209,259,-1007,0,0,-1
-1078,130,-56,302,300,-981,0,0,-1
-994,98,-2,345,-198,-895,0,1,-1
-1146,75,-86,208,443,-821,0,0,-1
-1247,-39,42,104,-689,-797,0,0,-1
-1352,-57,-20,161,-26,-656,0,0,-2
-1218,-87,53,-121,-528,-714,1,0,-2
-1317,-157,144,-11,-229,-578,1,0,-2
-1110,-178,83,23,-158,-562,1,0,-2
-1096,-237,216,89,-121,-513,1,0,-2
-1097,-263,138,147,-207,-422,1,0,-2
-1153,-295,186,226,320,-363,1,0,-2
-1036,-305,123,49,-106,-140,1,0,-2
-1118,-326,123,116,78,-333,1,0,-2
-1359,-325,124,56,44,-15,1,0,-2
-1378,-317,95,37,238,233,1,0,-2
-1357,-310,124,-41,291,454,1,0,-2
-1297,-332,92,-207,-63,641,1,0,-2
-1302,-323,132,-301,-338,660,1,0,-2
-1274,-286,141,-365,142,687,1,0,-2
-1307,-316,71,-410,17,648,1,0,-2
-1107,-215,41,106,604,550,1,0,-2
-1032,-99,-39,-37,322,613,1,0,-1
-946,-62,-7,96,-160,1003,0,1,-1
-918,25,-76,77,-71,1208,0,1,-1
-933,115,-28,172,-158,1348,0,0,-1
-845,127,-126,296,-273,1099,0,0,-1
-760,214,21,16,-254,921,0,0,-1
-692,225,-116,378,28,737,-1,0,-1
-531,354,-28,41,-37,559,-1,0,-1
-495,438,-13,17,-151,445,-1,0,-1
-374,456,27,83,-25,317,-1,0,-1
-387,463,2,16,-278,144,-1,0,-1
-306,443,47,-124,-177,-65,-1,0,-2
-505,346,71,-95,84,-392,-1,0,-2
-628,330,39,-65,4,-786,-1,0,-2
-657,248,28,-1,390,-835,-1,0,-2
-743,194,2,-101,236,-746,0,0,-2
-861,92,-82,179,-66,-931,0,0,-1
-1132,35,149,191,-287,-1141,0,0,-1
-1202,76,9,116,100,-897,0,0,-2
-1234,-5,-84,298,97,-836,0,0,-1
-1247,-63,10,25,-391,-932,0,0,-2
-1316,-165,115,-65,-383,-813,1,0,-2
-1169,-217,175,-83,-318,-669,1,0,-2
-1319,-269,196,49,-207,-653,1,0,-2
-1178,-324,134,65,-414,-533,1,0,-2
-1321,-308,308,-73,-439,-567,1,0,-2
-1260,-297,255,-48,-2,-297,1,0,-2
-1300,-309,247,-58,40,-86,1,0,-2
-1326,-319,232,-40,313,79,1,0,-2
-1327,-308,220,-123,470,211,1,0,-2
-1306,-334,92,-203,564,721,1,0,-2
-1437,-369,114,-597,269,532,1,0,-2
-1226,-278,21,-774,72,634,1,0,-1
-1207,-260,0,-301,-121,849,1,0,-1
-1231,-243,-12,-282,-159,1057,1,0,-1
-1179,-149,-95,-219,-226,912,0,0,-1
-1027,-119,-30,-132,-445,1150,0,1,-2
-758,42,-28,165,147,1281,0,0,-2
-649,161,-74,171,23,1169,0,0,-2
-597,229,0,-56,-18,1078,-1,0,-1
-485,334,66,-52,-110,879,-1,0,-1
-366,409,95,-73,-226,690,-1,0,-2
-291,482,115,-26,-227,344,-1,0,-2
-244,479,134,46,-210,231,-1,0,-2
-331,479,138,6,-123,-312,-1,0,-2
-417,403,95,7,64,-522,-1,0,-2
-537,327,84,9,25,-723,-1,0,-2
-643,270,24,149,189,-931,-1,0,-2
-768,199,42,184,186,-974,0,0,-2
-977,169,-28,245,322,-966,0,0,-2
-905,131,-53,152,-2,-734,0,0,-1
