ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,MAG_X,MAG_Y,MAG_Z
-870,-480,178,-27,-34,24,2,0,-2
-876,-483,188,-21,-39,18,2,0,-2
-884,-479,185,-4,-37,10,2,0,-2
-884,-491,171,-9,-50,14,2,0,-2
-889,-514,151,0,-26,-4,2,0,-2
-886,-483,129,76,11,-35,2,0,-3
-878,-464,135,163,83,-39,2,0,-2
-874,-461,184,-14,22,10,2,0,-2
-877,-472,222,-56,7,36,2,0,-2
-888,-473,214,11,2,46,2,0,-2
-867,-475,175,21,-5,74,2,0,-2
-859,-501,168,-21,-18,63,2,0,-2
-867,-487,186,-17,-24,32,2,0,-2
-880,-481,176,16,-21,29,2,0,-2
-877,-480,175,-7,-28,33,2,0,-2
-880,-479,170,-11,-28,21,2,0,-2
-886,-473,172,-4,-18,18,2,0,-2
-888,-471,167,2,-11,18,2,0,-2
-880,-476,180,-18,-11,31,2,0,-2
-875,-479,185,-4,-10,17,2,0,-2
-884,-472,177,14,-8,7,2,0,-2
-882,-473,177,0,-18,19,2,0,-2
-873,-480,181,-4,-16,20,2,0,-2
-879,-475,173,8,-17,7,2,0,-2
-877,-475,176,-5,-23,13,2,0,-2
-875,-475,172,-6,-27,7,2,0,-2
-887,-469,174,4,-9,3,2,0,-2
-891,-467,186,-14,-21,12,2,0,-2
-888,-469,177,6,-13,17,2,0,-2
-885,-469,176,1,-12,23,2,0,-3
-881,-479,181,-11,-12,26,2,0,-3
-880,-476,174,2,-13,21,2,0,-3
-878,-476,173,0,-7,16,2,0,-2
-881,-475,177,-7,-13,9,2,0,-2
-888,-468,176,7,-7,4,2,0,-2
-884,-470,180,-4,-10,17,2,0,-3
-884,-471,178,-1,-11,19,2,0,-2
-878,-479,185,-6,-13,19,2,0,-2
-879,-472,177,-4,-17,14,2,0,-2
-882,-471,171,3,-11,11,2,0,-2
-879,-474,178,-15,-18,18,2,0,-2
-887,-466,182,3,-6,9,2,0,-2
-884,-468,177,-4,-18,14,2,0,-2
-888,-465,181,-3,-5,22,2,0,-2
-878,-477,183,-13,-18,30,2,0,-2
-878,-474,178,-1,-13,18,2,0,-2
-878,-477,176,-4,-18,18,2,0,-2
-883,-468,177,-2,-16,13,2,0,-2
-883,-476,176,-9,-25,16,2,0,-2
-888,-465,174,-3,-21,11,2,0,-2
-889,-466,173,-8,-15,18,2,0,-2
-887,-467,173,0,-11,17,2,0,-2
-885,-472,177,4,-3,18,2,0,-2
-884,-470,174,2,-7,20,2,0,-2
-881,-468,170,7,-2,11,2,0,-2
-879,-474,172,-6,-10,15,2,0,-2
-890,-469,182,4,0,6,2,0,-2
-883,-465,176,0,-11,8,2,0,-2
-884,-465,175,4,-2,11,2,0,-2
-884,-470,180,-4,-9,16,2,0,-2
-883,-466,179,0,-10,16,2,0,-2
-881,-471,177,0,-12,20,2,0,-2
-882,-470,174,1,-14,16,2,0,-2
-880,-474,178,-5,-18,18,2,0,-2
-886,-472,175,2,-14,9,2,0,-2
-889,-468,173,-1,-18,13,2,0,-2
-884,-468,167,-2,-17,19,2,0,-2
-887,-476,175,-7,-12,15,2,0,-2
-884,-469,173,-3,-17,16,2,0,-2
-882,-468,170,1,-9,14,2,0,-2
-879,-472,177,-16,-21,16,2,0,-2
-889,-467,184,1,-7,14,2,0,-2
-884,-467,173,-4,-21,14,2,0,-2
-881,-467,175,-6,-20,18,2,0,-2
-884,-472,173,-3,-18,14,2,0,-2
-886,-466,175,-5,-17,15,2,0,-2
-882,-471,168,5,-9,15,2,0,-2
-885,-466,173,-3,-11,13,2,0,-2
-882,-469,175,0,-14,15,2,0,-2
-887,-467,177,2,-9,11,2,0,-2
-886,-469,176,2,-11,16,2,0,-2
-883,-472,172,1,-16,15,2,0,-2
-884,-473,169,2,-9,17,2,0,-2
-885,-477,176,3,-8,9,2,0,-2
-884,-469,169,3,-11,14,2,0,-2
-883,-469,173,2,-3,9,2,0,-2
-880,-469,169,-8,-15,11,2,0,-2
-888,-469,188,1,-1,11,2,0,-2
-886,-463,174,0,-14,7,2,0,-2
-885,-464,179,6,-9,16,2,0,-2
-883,-472,177,-2,-11,19,2,0,-2
-885,-469,176,5,-11,18,2,0,-2
-878,-477,173,-2,-13,21,2,0,-2
-879,-474,180,-3,-14,11,2,0,-2
-881,-473,173,1,-17,9,2,0,-2
-886,-471,180,-4,-15,9,2,0,-2
-885,-467,175,2,-20,9,2,0,-3
-884,-468,176,0,-16,15,2,0,-2
-887,-467,176,-1,-16,15,2,0,-2
-882,-474,173,-7,-19,21,2,0,-2
-885,-468,177,1,-11,12,2,0,-2
-879,-475,173,-1,-11,21,2,0,-2
-875,-473,179,-11,-16,18,2,0,-3
-881,-474,176,2,-8,6,2,0,-2
-887,-468,185,-5,-19,11,2,0,-2
-882,-468,174,4,-14,14,2,0,-2
-881,-468,178,-4,-18,14,2,0,-2
-882,-475,178,-6,-19,14,2,0,-2
-884,-468,177,0,-18,11,2,0,-2
-884,-472,176,-2,-14,14,2,0,-2
-884,-470,176,-6,-16,16,2,0,-2
-880,-472,180,-1,-12,14,2,0,-2
-888,-468,181,-1,-11,12,2,0,-2
-882,-471,185,-10,-17,24,2,0,-2
-880,-474,179,1,-12,16,2,0,-2
-882,-474,178,-3,-17,16,2,0,-2
-881,-474,178,0,-15,14,2,0,-2
-880,-475,176,-3,-17,11,2,0,-2
-886,-465,172,6,-12,8,2,0,-2
-882,-473,176,-4,-11,16,2,0,-2
-879,-470,171,-7,-17,17,2,0,-2
-886,-471,183,-2,0,15,2,0,-2
-884,-470,180,-4,-19,15,2,0,-2
-882,-467,172,4,-8,21,2,0,-2
-882,-473,175,-3,-13,16,2,0,-2
-887,-472,175,1,-11,18,2,0,-2
-884,-470,170,0,-11,21,2,0,-2
-880,-476,170,-2,-9,18,2,0,-2
-882,-471,170,-2,-11,14,2,0,-2
-880,-473,176,-1,-8,12,2,0,-2
-887,-466,173,4,-9,7,2,0,-2
-888,-467,171,0,-14,15,2,0,-2
-884,-469,173,2,-7,18,2,0,-2
-884,-470,173,3,-9,16,2,0,-2
-882,-471,174,-5,-11,15,2,0,-2
-882,-469,172,1,-12,19,2,0,-3
-883,-474,179,-3,-7,15,2,0,-2
-882,-468,176,-3,-16,14,2,0,-2
-878,-474,176,3,-12,5,2,0,-2
-887,-462,165,10,-11,0,2,0,-2
-893,-469,178,-9,-17,16,2,0,-2
-891,-461,170,-2,-8,18,2,0,-2
-884,-472,173,-10,-11,32,2,0,-2
-880,-472,175,-15,-7,30,2,0,-2
-876,-479,181,-19,-16,23,2,0,-2
-881,-469,176,-3,-14,13,2,0,-2
-883,-468,177,-7,-18,12,2,0,-2
-888,-462,174,3,-18,12,2,0,-2
-885,-466,176,-1,-18,14,2,0,-2
-890,-465,174,1,-15,16,2,0,-3
-884,-470,168,0,-14,21,2,0,-2
-884,-472,173,-5,-11,18,2,0,-2
-881,-475,174,-4,-13,18,2,0,-2
-881,-473,176,-3,-14,7,2,0,-2
-885,-464,173,-1,-15,8,2,0,-2
-890,-469,181,0,-10,6,2,0,-2
-888,-467,172,0,-20,16,2,0,-2
-886,-462,171,5,-9,14,2,0,-2
-884,-469,166,-5,-14,14,2,0,-2
-893,-467,172,4,-7,15,2,0,-2
-889,-463,167,5,-1,17,2,0,-2
-887,-466,168,2,-3,23,2,0,-2
-883,-476,178,-12,-9,28,2,0,-2
-885,-474,176,-4,-7,17,2,0,-2
-884,-469,170,-8,-13,18,2,0,-2
-889,-468,170,-2,-5,13,2,0,-2
-894,-462,164,-1,-6,13,2,0,-2
-891,-471,165,-7,-4,21,2,0,-2
-890,-467,168,-7,-1,18,2,0,-2
-881,-473,162,-7,0,21,2,0,-2
-882,-467,167,-7,0,13,2,0,-2
-877,-466,166,-14,-7,14,2,0,-2
-880,-462,166,-9,-6,9,2,0,-2
-886,-460,174,-14,-8,11,2,0,-2
-892,-463,171,-3,-14,16,2,0,-2
-880,-470,171,-7,-21,19,2,0,-2
-884,-461,163,3,-16,16,2,0,-2
-887,-464,161,-2,-14,17,2,0,-2
-888,-467,165,-15,-28,26,2,0,-2
-889,-466,164,-4,-17,24,2,0,-2
-883,-470,166,-15,-23,24,2,0,-2
-886,-466,157,-2,-22,17,2,0,-2
-892,-461,169,-13,-20,18,2,0,-2
-890,-467,164,-3,-21,23,2,0,-2
-885,-464,168,-8,-21,24,2,0,-2
-885,-468,165,0,-18,16,2,0,-2
-891,-465,163,1,-21,9,2,0,-2
-894,-461,160,4,-16,11,2,0,-2
-889,-464,159,-2,-17,18,2,0,-2
-887,-466,166,-4,-15,14,2,0,-2
-889,-463,164,0,-11,13,2,0,-2
-886,-463,171,-8,-14,18,2,0,-2
-891,-465,175,2,-10,9,2,0,-2
-889,-461,166,2,-21,15,2,0,-2
-886,-461,166,1,-14,18,2,0,-2
-881,-468,163,1,-16,10,2,0,-2
-893,-461,172,1,-15,11,2,0,-2
-894,-460,168,3,-14,12,2,0,-2
-886,-463,169,-9,-21,24,2,0,-2
-881,-470,171,-2,-16,17,2,0,-2
-889,-465,174,0,-18,6,2,0,-2
-888,-463,166,0,-21,16,2,0,-2
-888,-467,171,-2,-17,10,2,0,-2
-889,-463,171,-2,-18,16,2,0,-2
-887,-465,170,-3,-14,11,2,0,-2
-892,-459,173,-2,-13,11,2,0,-2
-891,-464,175,0,-13,16,2,0,-2
-887,-463,171,3,-13,15,2,0,-2
-882,-469,173,1,-11,16,2,0,-2
-888,-469,174,6,-10,9,2,0,-2
-882,-466,169,2,-16,13,2,0,-2
-888,-463,170,6,-7,9,2,0,-2
-886,-471,174,1,-11,9,2,0,-2
-882,-464,168,-7,-17,16,2,0,-2
-892,-461,179,0,2,7,2,0,-2
-889,-462,179,-9,-22,12,2,0,-2
-889,-454,172,7,-7,16,2,0,-2
-885,-465,177,-8,-16,24,2,0,-2
-884,-467,173,-2,-18,22,2,0,-2
-881,-469,171,-2,-18,20,2,0,-2
-883,-472,174,-4,-16,11,2,0,-2
-889,-462,168,0,-21,11,2,0,-2
-890,-463,176,-4,-14,11,2,0,-2
-891,-461,174,-4,-21,17,2,0,-2
-886,-466,177,-5,-18,21,2,0,-2
-882,-469,172,-7,-23,20,2,0,-2
-881,-471,177,-6,-20,15,2,0,-2
-886,-467,169,-2,-20,8,2,0,-2
-890,-462,173,-2,-18,7,2,0,-2
-894,-456,170,-1,-18,11,2,0,-2
-889,-459,172,2,-9,15,2,0,-2
-884,-463,171,-5,-11,19,2,0,-2
