#Format version: 1.0

Ê®Ò»ÔÂ 10. 2023
FW Datalog BLE
Time,Time,Pressure,Temperature,Acceleration(XYZ),,,Angular Rate(XYZ),,,Mag Field(XYZ),,, Acc,Events,Sensor Fusion Quaternions,,,,Compass,Activity,,Carry,Position,Gesture,,
[h:m],[s.ms],[hPa],[C],[mg],[mg],[mg],[mdps],[mdps],[mdps],[mGauss],[mGauss],[mGauss],State,Description,q[0],q[1],q[2],q[3],[deg.],State,Description,State,Description,State,Description,
52880,,,,780,-632,10,2,-22,16,296,-352,-210,
52928,,,,,,,,,,,,,,,,,,, 349.0,
52936,,,,774,-631,7,31,-19,2,294,-359,-201,
52984,,,,790,-616,20,24,-22,7,300,-356,-202,
53024,,,,,,,,,,,,,,,,,,, 348.6,
53032,,,,786,-620,8,16,-21,12,299,-356,-204,
53080,,,,789,-614,16,-23,-7,21,306,-355,-207,
53128,,,,,,,,,,,,,,,,,,, 348.7,
53136,,,,787,-619,7,-16,0,20,297,-356,-204,
53184,,,,795,-622,13,-43,35,24,297,-358,-216,
53224,,,,,,,,,,,,,,,,,,, 349.1,
53232,,,,775,-622,12,-95,112,39,296,-355,-213,
53280,,,,793,-613,16,-142,139,43,305,-353,-213,
53328,,,,,,,,,,,,,,,,,,, 350.7,
53336,,,,758,-640,29,-102,109,41,306,-343,-214,
53384,,,,794,-638,28,-150,193,18,314,-343,-217,
53424,,,,,,,,,,,,,,,,,,, 352.6,
53432,,,,783,-641,37,-76,79,15,306,-338,-225,
53480,,,,784,-646,54,-62,81,14,309,-334,-226,
53528,,,,,,,,,,,,,,,,,,, 353.6,
53536,,,,801,-616,29,-99,30,72,314,-337,-222,
53584,,,,766,-633,39,50,-156,27,318,-335,-210,
53624,,,,,,,,,,,,,,,,,,, 357.1,
53632,,,,751,-644,6,91,-139,-18,314,-337,-214,
53680,,,,744,-639,-1,0,-94,30,312,-337,-219,
53728,,,,,,,,,,,,,,,,,,, 357.0,
53736,,,,771,-642,15,20,-154,41,320,-344,-211,
53784,,,,733,-625,41,267,-397,73,315,-353,-201,
53824,,,,,,,,,,,,,,,,,,, 355.9,
53832,,,,782,-640,-2,28,-128,58,314,-356,-205,
53880,,,,765,-638,-29,72,-123,-6,308,-347,-195,
53928,,,,,,,,,,,,,,,,,,, 355.9,
53936,,,,752,-646,-23,28,-116,42,317,-353,-187,
53984,,,,748,-655,-22,-2,-53,31,317,-352,-195,
54024,,,,,,,,,,,,,,,,,,, 355.7,
54032,,,,766,-642,-19,25,-12,-17,318,-362,-199,
54080,,,,756,-660,-15,72,-82,-53,312,-356,-193,
54128,,,,,,,,,,,,,,,,,,, 355.1,
54136,,,,742,-653,-12,65,-88,-40,309,-356,-196,
54184,,,,745,-642,-7,37,-50,-27,305,-358,-193,
54224,,,,,,,,,,,,,,,,,,, 354.4,
54232,,,,764,-638,-13,30,-30,8,302,-362,-195,
54280,,,,790,-633,-27,23,-31,36,306,-364,-192,
54328,,,,,,,,,,,,,,,,,,, 354.4,
54336,,,,806,-613,-22,-9,-20,25,305,-371,-201,
54384,,,,801,-615,-18,-34,-11,-32,303,-362,-181,
54424,,,,,,,,,,,,,,,,,,, 355.1,
54432,,,,765,-635,-2,-85,24,-67,302,-373,-193,
54480,,,,732,-657,30,-127,42,-55,306,-364,-190,
54528,,,,,,,,,,,,,,,,,,, 356.4,
54536,,,,730,-668,44,-128,134,-3,300,-364,-186,
54584,,,,767,-652,21,-56,1,15,306,-359,-195,
54624,,,,,,,,,,,,,,,,,,, 357.5,
54632,,,,769,-636,-14,-19,-95,2,302,-358,-189,
54680,,,,766,-617,-57,-103,-61,63,300,-361,-180,
54728,,,,,,,,,,,,,,,,,,, 358.7,
54736,,,,793,-596,-78,-88,-112,105,309,-364,-186,
54784,,,,806,-578,-58,-142,-60,83,320,-358,-169,
54824,,,,,,,,,,,,,,,,,,,   0.6,
54832,,,,822,-606,-95,-93,-39,50,315,-358,-171,
54880,,,,824,-610,-137,-44,-93,51,318,-353,-166,
54928,,,,,,,,,,,,,,,,,,,   1.9,
54936,,,,799,-617,-130,-50,-93,21,332,-355,-157,
54984,,,,787,-617,-102,-98,-2,36,315,-347,-163,
55024,,,,,,,,,,,,,,,,,,,   3.4,
55032,,,,821,-609,-117,-73,56,41,323,-356,-160,
55080,,,,820,-595,-123,30,-19,-14,327,-359,-160,
55128,,,,,,,,,,,,,,,,,,,   3.8,
55136,,,,778,-615,-122,120,-58,-70,320,-362,-160,
55184,,,,767,-615,-106,124,-39,-58,311,-362,-157,
55224,,,,,,,,,,,,,,,,,,,   2.2,
55232,,,,792,-622,-101,158,-27,-54,314,-362,-166,
55280,,,,820,-676,-116,241,-58,-44,303,-361,-169,
55328,,,,,,,,,,,,,,,,,,, 359.5,
55336,,,,823,-640,-138,284,-110,-3,303,-371,-177,
55384,,,,771,-547,-75,146,-78,-53,302,-374,-178,
55424,,,,,,,,,,,,,,,,,,, 358.6,
