#Format version: 1.0

Ê®Ò»ÔÂ 10. 2023
FW Datalog BLE
Time,Time,Pressure,Temperature,Acceleration(XYZ),,,Angular Rate(XYZ),,,Mag Field(XYZ),,, Acc,Events,Sensor Fusion Quaternions,,,,Compass,Activity,,Carry,Position,Gesture,,
[h:m],[s.ms],[hPa],[C],[mg],[mg],[mg],[mdps],[mdps],[mdps],[mGauss],[mGauss],[mGauss],State,Description,q[0],q[1],q[2],q[3],[deg.],State,Description,State,Description,State,Description,
170584,,,,851,431,-112,-93,-53,98,-287,-338,-123,
170624,,,,,,,,,,,,,,,,,,, 325.9,
170632,,,,793,448,-292,-146,-329,210,-277,-343,-124,
170680,,,,842,553,-589,-742,-996,685,-257,-373,-114,
170728,,,,,,,,,,,,,,,,,,, 331.9,
170736,,,,1000,794,-371,-1365,-988,772,-212,-392,-100,
170784,,,,1145,737,-212,-1522,-567,178,-172,-418,-102,
170824,,,,,,,,,,,,,,,,,,, 348.2,
170832,,,,1188,502,158,-1766,105,-140,-160,-416,-123,
170880,,,,1369,236,457,-1619,1143,-391,-158,-406,-186,
170920,,,,,,,,,,,,,,,,,,,,   2,Walking,
170928,,,,,,,,,,,,,,,,,,,   5.4,
170936,,,,1325,-32,699,-1140,1451,-485,-142,-362,-265,
170984,,,,1019,-280,770,-443,1308,-557,-158,-319,-312,
171024,,,,,,,,,,,,,,,,,,,  13.4,
171032,,,,654,-318,728,32,1633,-208,-166,-260,-340,
171080,,,,520,-202,578,131,2149,151,-167,-194,-391,
171128,,,,,,,,,,,,,,,,,,,  11.4,
171136,,,,328,-300,480,-163,2641,485,-179,-92,-421,
171184,,,,535,-69,128,-567,2200,1211,-170,-1,-438,
171224,,,,,,,,,,,,,,,,,,, 108.5,
171232,,,,496,-66,146,267,741,1372,-172,37,-442,
171280,,,,653,38,71,-39,296,1356,-173,41,-439,
171328,,,,,,,,,,,,,,,,,,,  91.5,
171336,,,,881,-7,157,455,-435,1731,-185,1,-439,
171368,,,,,,,,,,,,,,,,,,,,,,,,    1,Pick Up,
171376,,,,,,,,,,,,,,,,,,,,,,,,    0,No Gesture,
171384,,,,1067,201,144,365,-931,1957,-176,-65,-436,
171424,,,,,,,,,,,,,,,,,,,  71.3,
171432,,,,1480,319,77,205,-1296,2163,-151,-131,-418,
171480,,,,1760,356,106,-427,-1499,2219,-78,-220,-402,
171528,,,,,,,,,,,,,,,,,,, 323.3,
171536,,,,1829,246,72,-1396,-1189,1449,-3,-259,-385,
171584,,,,1776,-1,439,-1785,-1388,705,93,-296,-352,
